Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,0,7.498
2,0,0,1,0,7.456
3,0,0,0,0,7.508
4,0,0,1,0,7.447
5,0,2,0,0,6.97
6,0,0,0,0,7.422
7,0,1,0,0,7.232
8,0,1,1,0,7.213
9,0,0,0,0,7.496
10,0,0,1,0,7.404
11,0,1,1,0,7.066
12,0,0,1,0,7.4
13,0,1,0,0,7.321
14,0,0,1,0,7.553
15,0,0,0,0,7.444
16,0,0,0,0,7.641
17,0,0,0,0,7.414
18,0,0,0,0,7.397
19,0,0,0,0,7.529
20,0,0,0,0,7.439
21,0,0,0,0,7.545
22,0,0,0,0,7.507
23,0,0,1,0,7.476
24,0,1,2,0,7.12
25,0,0,0,0,7.438
26,0,0,1,0,7.381
27,0,0,0,0,7.379
28,0,0,0,0,7.377
29,0,0,2,0,7.427
30,0,0,0,0,7.511
31,0,0,0,0,7.463
32,0,0,0,0,7.476
33,0,0,2,0,7.397
34,0,0,1,0,7.424
35,0,0,0,0,7.456
36,0,0,0,0,7.434
37,0,0,0,0,7.521
38,0,0,1,0,7.505
39,0,0,0,0,7.479
40,0,0,0,0,7.542
41,0,0,1,0,7.42
42,0,0,1,0,7.422
43,0,0,1,0,7.366
44,0,0,2,0,7.425
45,0,0,2,0,7.541
46,0,0,2,0,7.381
47,0,0,0,0,7.456
48,0,0,1,0,7.393
49,0,0,0,0,7.476
50,0,0,2,0,7.425
51,0,0,0,0,7.445
52,0,0,0,0,7.412
53,0,0,0,0,7.505
54,0,0,0,0,7.458
55,0,0,0,0,7.523
56,0,0,1,0,7.47
57,0,0,2,0,7.551
58,0,1,0,0,7.309
59,0,0,2,0,7.405
60,0,0,0,0,7.467
61,0,0,0,0,7.5
62,0,0,1,0,7.49
63,0,0,1,0,7.476
64,0,1,0,0,7.061
65,0,1,0,0,7.304
66,0,1,0,0,7.256
67,0,0,0,0,7.486
68,0,0,3,0,7.387
69,0,0,0,0,7.411
70,0,0,0,0,7.478
71,0,0,0,0,7.41
72,0,0,0,0,7.519
73,0,0,0,0,7.394
74,0,0,0,0,7.502
75,0,0,1,0,7.389
76,0,1,1,0,7.328
77,0,1,1,0,7.239
78,0,0,0,0,7.374
79,0,0,2,0,7.368
80,0,0,0,0,7.459
81,0,0,0,0,7.482
82,0,0,0,0,7.509
83,0,1,0,0,7.268
84,0,0,0,0,7.347
85,0,0,0,0,7.469
86,0,0,0,0,7.445
87,0,1,1,0,7.153
88,0,1,0,0,7.207
89,0,0,0,0,7.451
90,0,0,0,0,7.402
91,0,0,1,0,7.426
92,0,0,0,0,7.412
93,0,0,0,0,7.391
94,0,0,0,0,7.493
95,0,0,0,0,7.48
96,0,0,0,0,7.394
97,0,0,0,0,7.429
98,0,1,0,0,7.158
99,0,0,0,0,7.476
100,0,0,1,0,7.53
101,0,0,0,0,7.522
102,0,0,0,0,7.394
103,0,0,0,0,7.475
104,0,0,2,0,7.458
105,0,0,2,0,7.42
106,0,0,1,0,7.474
107,0,0,0,0,7.464
108,0,0,1,0,7.46
109,0,0,0,0,7.451
110,0,0,0,0,7.479
111,0,0,0,0,7.426
112,0,0,0,0,7.495
113,0,0,0,0,7.453
114,0,0,1,0,7.45
115,0,1,0,0,7.134
116,0,0,1,0,7.445
117,0,0,0,0,7.56
118,0,0,1,0,7.395
119,0,0,0,0,7.42
120,0,1,2,0,7.167
121,0,0,0,0,7.536
122,0,0,0,0,7.444
123,0,1,0,0,7.274
124,0,1,0,0,7.239
125,0,0,3,0,7.299
126,0,0,0,0,7.468
127,0,1,0,0,7.305
128,0,0,0,0,7.481
129,0,1,0,0,7.358
130,0,0,0,0,7.429
131,0,1,0,0,7.185
132,0,0,1,0,7.47
133,0,2,0,0,7.091
134,0,0,1,0,7.46
